Player,Age,Team,Pos,G,GS,MP,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Awards
Nicolas Batum,36,LAC,PF,7,0,172,24.57142857,12.9,0.591,1,0,2.7,16,9.2,10.6,1.8,6,8.3,9.7,0.2,0.2,0.4,0.11,0.5,4.4,4.9,0.3,6016080,0,1,0,0,0,0
Dorian Finney-Smith,31,LAL,PF,5,1,170,34,6.9,0.534,0.655,0,7,7.3,7.2,11.8,0.3,1.1,14.7,9.3,0.1,0,0.1,0.033,-2,-0.2,-2.3,0,13197720,0,1,0,0,0,0
Kentavious Caldwell-Pope,31,ORL,SG,5,5,163,32.6,5.7,0.394,0.767,0.133,0.7,11.1,5.4,8,2.3,1.9,5.9,9.5,-0.1,0.1,0,0.001,-5.4,2.4,-3,0,23799569,0,0,0,0,1,0
Wendell Carter Jr.,25,ORL,C,5,5,162,32.4,14.3,0.574,0.275,0.25,12.6,27.9,19.5,6.1,0.7,1.3,15.3,14.8,0.1,0.1,0.2,0.072,-1,-0.1,-1.1,0,11144093,1,0,0,0,0,0
Sam Merrill,28,CLE,SG,8,3,159,19.875,10.6,0.557,0.975,0.075,4.8,9.7,7.2,11.6,1.2,1.3,4.6,11.7,0.3,0.1,0.4,0.13,-0.4,0.9,0.5,0.1,9000000,0,0,0,0,1,0
Bobby Portis,29,MIL,PF,5,1,158,31.6,12.7,0.511,0.412,0.015,5.5,25.7,15,7.1,0.6,1.2,8.1,20.9,0,0,0,0.002,-0.8,-1.9,-2.7,0,13731368,0,1,0,0,0,0
Steven Adams,31,HOU,C,7,0,155,22.14285714,16.2,0.602,0,1.5,16.7,16.2,16.5,3.8,1,5.7,13.1,10.9,0.3,0.2,0.5,0.146,0.5,0.3,0.8,0.1,15000000,1,0,0,0,0,0
Kris Dunn,30,LAC,PG,7,6,153,21.85714286,12.3,0.5,0.636,0,7.6,10.9,9.2,8,2.7,2.3,2.2,13.6,0.2,0.1,0.3,0.095,-1.6,2.7,1.1,0.1,5820240,0,0,1,0,0,0
Bam Adebayo,27,MIA,C,4,4,153,38.25,15.9,0.508,0.328,0.172,11.7,23.4,17.1,19.4,1.4,0.8,14.8,24.5,0,-0.2,-0.2,-0.066,0.7,-1.5,-0.9,0,49800000,1,0,0,0,0,1
Kevin Porter Jr.,24,MIL,SG,5,1,151,30.2,12,0.521,0.313,0.271,2.2,12.2,6.9,26,1.3,0,14.3,18.4,0.1,0,0.1,0.04,-1.2,-1,-2.2,0,5601600,0,0,0,0,1,0
Darius Garland,25,CLE,PG,5,5,148,29.6,14.4,0.566,0.507,0.348,0.7,8,4.2,26.8,0.7,0,15.9,27.3,0.2,0.1,0.3,0.088,0.6,-2.4,-1.9,0,39446090,0,0,1,0,0,1
Tyler Herro,25,MIA,SG,4,4,144,36,9.7,0.512,0.446,0.154,0,12.4,5.8,13.5,0.7,0,11.5,25.3,-0.1,-0.3,-0.4,-0.135,-2.9,-3.7,-6.6,-0.2,32500000,0,0,0,0,1,1
Jabari Smith Jr.,21,HOU,PF,7,0,143,20.42857143,12.6,0.677,0.647,0.294,5.5,15.3,10.5,4.3,0.4,3.9,20.7,15,0.1,0.1,0.3,0.085,0.1,0.8,1,0.1,23643411,0,1,0,0,0,0
Dean Wade,28,CLE,PF,9,1,142,15.77777778,6.8,0.417,0.778,0,7.7,23.3,15.2,5.2,1,0.7,14.3,6.3,0,0.2,0.2,0.067,-3,0.8,-2.2,0,7178400,0,1,0,0,0,0
Davion Mitchell,26,MIA,PG,4,3,142,35.5,16.6,0.681,0.341,0.171,1.6,6.3,3.8,30.4,1.1,0.8,15.4,17,0.4,-0.3,0.1,0.026,1.6,0,1.5,0.1,12362338,0,0,1,0,0,0
Jaylin Williams,22,OKC,PF,17,0,141,8.294117647,9.7,0.565,0.714,0.314,3.1,21.8,12.3,16.2,2.8,1.4,23.1,15.6,0,0.3,0.3,0.091,-4,4.4,0.4,0.1,8781000,0,1,0,0,0,0
Desmond Bane,26,MEM,SG,4,4,139,34.75,6.9,0.438,0.508,0.238,4,16.2,10.3,15.4,1,1.3,17.7,25.4,-0.4,0,-0.3,-0.12,-2.4,-1.8,-4.2,-0.1,36725670,0,0,0,0,1,0
Kenrich Williams,30,OKC,PF,16,0,137,8.5625,9.9,0.457,0.5,0.15,6.3,21.6,13.9,7,2.5,0.7,14.1,15.4,-0.1,0.3,0.1,0.052,-2.6,0.8,-1.8,0,7707709,0,1,0,0,0,0
Jaren Jackson Jr.,25,MEM,C,4,4,137,34.25,9,0.479,0.19,0.345,7.2,8.2,7.7,7.4,1.4,1.3,14.1,23.7,-0.2,0,-0.2,-0.06,-2,-1.5,-3.5,-0.1,49000000,1,0,0,0,0,1
A.J. Green,25,MIL,SG,5,1,135,27,13.5,0.69,0.897,0.051,1.6,10.9,6,10.9,0,0.7,0,13.1,0.4,0,0.3,0.124,2.6,0,2.6,0.2,10044644,0,0,0,0,1,0
Derrick Jones Jr.,27,LAC,SF,7,1,129,18.42857143,12.7,0.495,0.417,0.167,4.5,7.4,5.9,2.3,1.6,6,5.5,19.6,-0.1,0.1,0,0.016,-1,0.9,-0.1,0.1,10395000,0,0,0,1,0,0
Isaac Okoro,24,CLE,SG,9,0,128,14.22222222,10.6,0.612,0.533,0.267,3.4,6.5,4.9,5.3,2.3,0.8,10.7,12.5,0.1,0.1,0.3,0.106,-2,0.8,-1.2,0,11500000,0,0,0,0,1,0
Santi Aldama,24,MEM,PF,4,1,122,30.5,11.4,0.591,0.545,0,1.8,18.4,10.4,9.9,0,0.7,10.2,16.8,0.1,0,0.1,0.031,1.8,-0.5,1.3,0.1,19375000,0,1,0,0,0,0
Andrew Wiggins,29,MIA,SF,4,4,122,30.5,7.8,0.485,0.465,0.233,3.7,9.4,6.4,11.8,0.4,4.7,18.8,22.2,-0.2,-0.2,-0.5,-0.177,-2.7,-2.8,-5.5,-0.1,30731707,0,0,0,1,0,1
Kevon Looney,28,GSW,C,12,0,120,10,12.5,0.49,0,0.348,15.3,25.9,20.4,4.9,2.1,3.1,7,10.5,0.2,0.2,0.4,0.144,-4.4,1.1,-3.3,0,8237640,1,0,0,0,0,0
Jarace Walker,21,IND,PF,12,0,117,9.75,7,0.503,0.588,0.118,2.1,17.8,10.4,9.4,0.8,1.6,16.4,16.2,-0.1,0.1,0,-0.009,-3.3,-0.6,-3.9,-0.1,7232143,0,1,0,0,0,0
Sam Hauser,27,BOS,PF,8,0,108,13.5,6.4,0.573,0.875,0.042,0,12.1,6.2,5.6,0.5,0.8,10.9,11.6,0,0.1,0.2,0.069,-2.5,0,-2.5,0,10739683,0,1,0,0,0,0
Kyle Kuzma,29,MIL,PF,5,4,102,20.4,2.4,0.385,0.286,0.171,3.2,9.7,6.2,5.6,0,0.9,7.4,17.6,-0.2,0,-0.2,-0.107,-7.4,-3.4,-10.9,-0.2,24393104,0,1,0,0,0,0
Gabe Vincent,28,LAL,PG,5,0,99,19.8,4.2,0.5,0.929,0,0,5.7,2.9,7.5,0.5,1.9,6.7,7.1,0,0,0,0.007,-4,0.6,-3.4,0,11808240,0,0,1,0,0,0
Haywood Highsmith,28,MIA,SF,4,0,84,21,14,0.763,0.789,0,5.3,13.7,9.2,7.6,1.9,2.7,17.4,12.7,0.1,-0.1,0,0.01,0.5,1.6,2,0.1,6045000,0,0,0,1,0,0
